Name,Address,Type,Property Age,No. of units,Transactions in last 180 days,Latest transaction unit price
泓都,堅尼地城新海旁街38號,屋苑,14,1188,19,$21801
均益大廈,德輔道西,屋苑,40~44,2504,18,$13894
嘉輝花園,士美非路71-77號,屋苑,32,912,18,$18462
縉城峰,第一街8號,屋苑,9,488,17,$24709
美菲閣,士美非路43號,屋苑,33,516,9,$16747
創業中心,皇后大道西423-425號,屋苑,37,633,9,-
南雄大廈,卑路乍街5-5H號,屋苑,44,379,8,$12521
五福大廈,北街4-8號,屋苑,45,351,8,$14020
永華大廈,皇后大道西425G-425Z號,屋苑,56,446,7,$11027
加惠臺,加惠民道29號,屋苑,18,496,7,$16947
昌寧大廈,干諾道西162-164A號,單幢物業,38,176,6,$11174
業昌大廈,山道4-16號,單幢物業,48,374,6,$10980
西園,第二街83號,屋苑,36,432,5,$16014
海怡花園,北街21號,屋苑,24~26,452,5,$18741
高樂花園,干諾道西155號,屋苑,33,720,5,$19102
高逸華軒,堅彌地城新海旁28號,單幢物業,18,476,5,-
三匯大廈,卑路乍街1-1F號,單幢物業,45,152,5,$15318
裕新大廈,第三街89-99號,屋苑,32,198,5,-
華寶大廈,新海旁街1號,單幢物業,40,185,5,$16077
英華閣,英華臺12號,單幢物業,19,60,4,$18777
華明中心,皇后大道西421號,屋苑,32~33,380,4,-
和益大廈,皇后大道西253-263號,單幢物業,24,125,4,-
怡景花園,皇后大道西409號,屋苑,31,320,4,$14851
嘉富大廈,吉席街63號,屋苑,36,92,4,$14421
翡翠閣,堅彌地城海旁48-49號,屋苑,37,299,4,$16549
東利大樓,安寧里1-15號,單幢物業,53,144,4,$11141
華輝閣,英華臺1-6號,單幢物業,33,138,4,$17264
恆裕大廈,加多近街45-55號,單幢物業,38,135,4,$16811
海傍大廈,卑路乍街37-37A號,單幢物業,39,133,4,-
聯康新樓,卑路乍街116-122號,單幢物業,47,267,4,$16624
聯威新樓,卑路乍街136-142號,單幢物業,47,278,4,-
得富大樓,德輔道西406-408D號,屋苑,56,273,3,-
羲皇台一號,羲皇臺1號,屋苑,31,188,3,-
屈地大廈,屈地街22-44號,屋苑,55,169,3,-
海都樓,卑路乍街7-11號,屋苑,52,322,3,-
毓明閣,第三街208號,屋苑,27,326,3,$14634
盈基花園,山市街34號,屋苑,27,300,3,-
佳景閣,山道38號,單幢物業,25,152,3,-
先施西環大廈,加多近街63-71號,單幢物業,53,205,3,$12080
LEXINGTON HILL,石山街11號,單幢物業,4,104,3,-
恆興樓,福壽里2號,單幢物業,34,104,3,-
新景樓,皇后大道西576-584號,單幢物業,43,100,3,-
冠華大廈,皇后大道西420-424號,單幢物業,42,91,3,$15167
